ANALYSIS_DATE,TM,AM,VOLTMAT,VOLTMATDRY,ASHCONFNL,ASHCONADRY,ASHCONDRY,BFASHCNADR,BFASHCNDRY,BFFXCAADRY,BFFXCARDRY,ST_FEO,ST_AL2O3,ST_AL2O3_BY_SIO,ST_CAO_SIO2,CARBON,MN,PHOSPORUS,TI,AL2O3,CB_FLOW,O2_PRESS,O2_FLOW,O2_PER,PCI,CB_TEMP,ATM_HUMID,HB_TEMP,HB_PRESS,TOP_TEMP1,TOP_TEMP2,TOP_TEMP3,TOP_TEMP4,TOP_PRESS,STP,ORE,TOT_FE,LIME,TOT_FLUX,COKE_PROC,NUT,TOT_FUEL,SI
01/09/19,9.367,1.5,25.297,25.682,21.901,10.207,10.362,14.293,14.366,84.56,84.991,9.396,2.187,0.388,3.38,4.305,0.054,0.091,0.056,17.885,310152,3.87,18005,26.5,68,131,24,1098,3.65,150,146,146,160,2,8703,2437,11140,376,395,2582,122,2704,0.605
02/09/19,9.4,1.513,25.46,25.851,21.415,10.303,10.462,14.433,14.508,84.437,84.869,9.402,1.863,0.327,3.478,4.33,0.068,0.102,0.06,17.692,281103,3.8,11545,24.66,52,125,23.1,1092,3.33,149,143,157,169,1.7,6914,1964,8878,363,375,2494,118,2612,0.645
03/09/19,9.2,1.503,25.34,25.727,20.251,10.577,10.738,14.46,14.532,84.43,84.852,9.193,1.923,0.331,3.403,4.29,0.075,0.105,0.051,17.21,250400,4.52,0,20.52,0,35,23.4,991,2.04,79,89,88,74,0.7,639,209,0,40,0,285,0,0,0.66
04/09/19,9.4,1.5,25.447,25.834,20.277,10.543,10.704,14.29,14.361,84.587,85.006,9.195,1.755,0.291,3.146,4.273,0.084,0.101,0.085,17.653,321907,3.55,6736,22.97,26,126,23.7,1076,3.23,129,138,130,141,1.8,7580,2340,9920,0,415,0,134,2978,1.021
05/09/19,9.467,1.503,25.527,25.916,23.364,10.123,10.278,14.327,14.4,84.56,84.991,9.182,1.882,0.305,3.236,4.228,0.074,0.106,0.049,16.59,321344,3.78,16112,25.77,68,125,24.1,1101,3.56,151,165,161,168,2,8798,2652,11450,401,401,2754,130,2884,0.563
06/09/19,9.733,1.503,25.66,26.052,23.377,10.373,10.532,14.297,14.369,84.597,85.022,9.172,1.775,0.287,3.198,4.328,0.075,0.1,0.047,15.671,330690,3.93,21476,27.16,95,130,23.3,1097,3.68,141,152,146,157,2,9340,2732,12072,398,398,2777,131,2909,0.517
07/09/19,9.8,1.507,25.367,25.755,23.368,10.403,10.562,14.283,14.355,84.607,85.029,9.408,1.88,0.303,3.556,4.255,0.09,0.109,0.067,16.583,326485,3.93,21856,27.43,96,128,23.1,1100,3.69,146,143,154,164,2,9052,2913,11965,386,398,2657,127,2784,0.693
08/09/19,9.867,1.52,25.64,26.036,20.202,10.52,10.682,14.367,14.442,84.487,84.934,9.268,1.784,0.299,3.544,4.121,0.079,0.115,0.036,15.614,314325,3.89,20863,27.35,95,128,23.9,1099,3.67,142,138,143,151,2,8877,2892,11769,381,382,2648,125,2773,0.41
09/09/19,9.667,1.507,25.777,26.171,20.191,10.62,10.783,14.283,14.356,84.597,85.028,9.332,1.473,0.251,3.785,4.219,0.076,0.095,0.04,15.619,315712,3.89,20607,27.18,82,128,24.5,1100,3.66,156,152,155,166,2,8442,3153,11595,373,373,2626,122,2749,0.446
10/09/19,9.933,1.513,25.277,25.665,20.192,10.593,10.756,14.57,14.643,84.313,84.737,9.268,1.422,0.252,4.123,4.286,0.07,0.097,0.037,16.114,305208,3.79,21278,27.61,64,124,25.3,1108,3.57,170,179,181,187,1.9,7790,2679,10469,351,351,2552,118,2670,0.415
11/09/19,9.867,1.507,25.54,25.931,20.169,10.307,10.464,14.66,14.735,84.213,84.642,9.203,1.452,0.248,3.758,4.187,0.097,0.101,0.051,15.89,297195,3.59,19180,27.09,56,122,25,1102,3.36,174,187,179,196,1.8,7545,2954,10499,356,367,2471,117,2588,0.562
